messageId,T1,T2,T2_5,T3,T4,RTT_Total,MQTT_to_WebSocket,WebSocket_Processing,Django_Processing,Django_to_Frontend,Frontend_to_MQTT
msg_1754902606677_2vbp8as5v,1754902606677,1754902607168,,1754902607074,1754902607295,618,491,,,-94,221
msg_1754902609184_12zuhc85l,1754902609184,1754902609677,,1754902609571,1754902609790,606,493,,,-106,219
msg_1754902611686_ucgs1i9ep,1754902611686,1754902612173,,1754902612381,1754902612600,914,487,,,208,219
msg_1754902614201_y05eefw99,1754902614201,1754902614688,,1754902614587,1754902614808,607,487,,,-101,221
msg_1754902616716_vqq540a4u,1754902616716,1754902617203,,1754902617466,1754902617688,972,487,,,263,222
msg_1754902619223_0n71isj0q,1754902619223,1754902619715,,1754902619580,1754902619804,581,492,,,-135,224
msg_1754902621734_d9yakzu21,1754902621734,1754902622221,,1754902622078,1754902622296,562,487,,,-143,218
msg_1754902624240_mpr8qg66g,1754902624240,1754902624730,,1754902624582,1754902624799,559,490,,,-148,217
msg_1754902626743_cvl1d2d4d,1754902626744,1754902627233,,1754902627371,1754902627589,845,489,,,138,218
msg_1754902629248_o0xp5xh70,1754902629248,1754902629737,,1754902629653,1754902629875,627,489,,,-84,222
msg_1754902631751_802uuncil,1754902631751,1754902632239,,1754902632157,1754902632374,623,488,,,-82,217
msg_1754902634262_4xwy02ivm,1754902634262,1754902634754,,1754902634655,1754902634873,611,492,,,-99,218
msg_1754902636767_z7445iidk,1754902636767,1754902637257,,1754902637481,1754902637701,934,490,,,224,220
msg_1754902639275_ydkam816r,1754902639275,1754902639766,,1754902639676,1754902639898,623,491,,,-90,222
msg_1754902641780_do8rev24m,1754902641780,1754902642269,,1754902642178,1754902642396,616,489,,,-91,218
msg_1754902644282_k58fikfyz,1754902644282,1754902644771,,1754902644667,1754902644885,603,489,,,-104,218
msg_1754902646784_mh8mks8nh,1754902646784,1754902647273,,1754902647387,1754902647609,825,489,,,114,222
msg_1754902649287_leamvauj1,1754902649287,1754902649774,,1754902649665,1754902649888,601,487,,,-109,223
msg_1754902651788_9hhjexxqp,1754902651788,1754902652360,,1754902652285,1754902652515,727,572,,,-75,230
msg_1754902654303_79ts3oivl,1754902654303,1754902654792,,1754902654684,1754902654913,610,489,,,-108,229
msg_1754902656803_vh6w5ktwx,1754902656803,1754902657295,,1754902657656,1754902657877,1074,492,,,361,221
msg_1754902659318_9p4q9lzpj,1754902659318,1754902659806,,1754902659684,1754902659911,593,488,,,-122,227
msg_1754902661832_6nvn6for4,1754902661832,1754902662326,,1754902662278,1754902662502,670,494,,,-48,224
msg_1754902664335_uxys9cdjm,1754902664335,1754902664827,,1754902664679,1754902664903,568,492,,,-148,224
msg_1754902666836_e106oynl3,1754902666836,1754902667322,,1754902667553,1754902667776,940,486,,,231,223
msg_1754902669340_rphequtui,1754902669340,1754902669829,,1754902669708,1754902669931,591,489,,,-121,223
msg_1754902671842_c39bmc10u,1754902671842,1754902672332,,1754902672265,1754902672484,642,490,,,-67,219
msg_1754902674344_vaxwqsl8x,1754902674344,1754902674835,,1754902674679,1754902674900,556,491,,,-156,221
msg_1754902676845_f29j0ooxk,1754902676845,1754902677334,,1754902677498,1754902677720,875,489,,,164,222
msg_1754902679353_dhl5doorr,1754902679353,1754902679840,,1754902679683,1754902679903,550,487,,,-157,220
msg_1754902681858_ll4kvu92m,1754902681858,1754902682345,,1754902682271,1754902682498,640,487,,,-74,227
msg_1754902684364_070klznb2,1754902684364,1754902684849,,1754902684762,1754902684983,619,485,,,-87,221
msg_1754902686870_jv8834b87,1754902686870,1754902687354,,1754902687559,1754902687782,912,484,,,205,223
msg_1754902689377_89tohbuwx,1754902689377,1754902689862,,1754902689742,1754902689963,586,485,,,-120,221
msg_1754902691881_91twgweue,1754902691881,1754902692367,,1754902692279,1754902692499,618,486,,,-88,220
msg_1754902694385_iyy12sq1p,1754902694385,1754902694874,,1754902694760,1754902694983,598,489,,,-114,223
msg_1754902696886_1vujxomaj,1754902696886,1754902697373,,1754902697468,1754902697693,807,487,,,95,225
msg_1754902699396_tc866rwaw,1754902699396,1754902699884,,1754902699846,1754902700068,672,488,,,-38,222
msg_1754902701902_vgaxble9a,1754902701902,1754902702387,,1754902702359,1754902702587,685,485,,,-28,228
msg_1754902704407_n6rej0wtd,1754902704407,1754902704891,,1754902704781,1754902705004,597,484,,,-110,223
msg_1754902706914_kwe3za552,1754902706914,1754902707400,,1754902707470,1754902707693,779,486,,,70,223
msg_1754902709421_sfiu3wojm,1754902709421,1754902709909,,1754902709780,1754902710004,583,488,,,-129,224
