messageId,T1,T2,T2_5,T3,T4,RTT_Total,MQTT_to_WebSocket,WebSocket_Processing,Django_Processing,Django_to_Frontend,Frontend_to_MQTT
msg_1754891693267_hl4dquui4,1754891693267,1754891693489,,1754891693541,1754891693766,499,222,,,52,225
msg_1754891698274_8h7qmk4hu,1754891698274,1754891698492,,1754891698542,1754891698766,492,218,,,50,224
msg_1754891703284_nbynkqcw1,1754891703284,1754891703507,,1754891703552,1754891703774,490,223,,,45,222
msg_1754891708291_uhjccox8i,1754891708291,1754891708513,,1754891708558,1754891708782,491,222,,,45,224
msg_1754891713293_tvwc7bwm9,1754891713293,1754891713514,,1754891713569,1754891713796,503,221,,,55,227
msg_1754891718300_pwu8wdyqs,1754891718300,1754891718518,,1754891718567,1754891718789,489,218,,,49,222
msg_1754891723309_rbzvo7941,1754891723309,1754891723689,,1754891723734,1754891723955,646,380,,,45,221
msg_1754891728320_163n12gmq,1754891728320,1754891728538,,1754891728591,1754891728817,497,218,,,53,226
msg_1754891733329_1skmjkail,1754891733329,1754891733552,,1754891733595,1754891733819,490,223,,,43,224
msg_1754891738337_qsomg901w,1754891738337,1754891738559,,1754891738637,1754891738861,524,222,,,78,224
msg_1754891743348_hr6gnzi59,1754891743348,1754891743566,,1754891743616,1754891743839,491,218,,,50,223
msg_1754891748352_dyiph3mqr,1754891748352,1754891748572,,1754891748619,1754891748844,492,220,,,47,225
msg_1754891753351_wkkcrn92h,1754891753351,1754891753573,,1754891753628,1754891753853,502,222,,,55,225
msg_1754891758354_tnl8e692n,1754891758354,1754891758573,,1754891758666,1754891758888,534,219,,,93,222
msg_1754891763369_1moz8rqq0,1754891763369,1754891763599,,1754891763653,1754891763874,505,230,,,54,221
msg_1754891768383_jitr08n94,1754891768383,1754891768606,,1754891768689,1754891768912,529,223,,,83,223
msg_1754891773397_kc6mguq58,1754891773397,1754891773619,,1754891773700,1754891773923,526,222,,,81,223
msg_1754891778400_xdiw3gcfc,1754891778400,1754891778617,,1754891778668,1754891778891,491,217,,,51,223
msg_1754891783406_0edbay4pd,1754891783406,1754891783625,,1754891783679,1754891783905,499,219,,,54,226
msg_1754891788410_857x6bjtc,1754891788410,1754891788631,,1754891788711,1754891788937,527,221,,,80,226
msg_1754891793413_1aye9x4va,1754891793413,1754891793634,,1754891793689,1754891793915,502,221,,,55,226
msg_1754891798423_ipi1m8oe2,1754891798423,1754891798641,,1754891798694,1754891798915,492,218,,,53,221
msg_1754891803433_p4569f388,1754891803433,1754891803651,,1754891803707,1754891803929,496,218,,,56,222
msg_1754891808438_pazb3ygkm,1754891808438,1754891808655,,1754891808716,1754891808998,560,217,,,61,282
msg_1754891813449_483ocu1k3,1754891813449,1754891813671,,1754891813722,1754891813943,494,222,,,51,221
msg_1754891818452_806pd6yku,1754891818452,1754891818669,,1754891818724,1754891818949,497,217,,,55,225
msg_1754891823457_828h9qbg1,1754891823457,1754891823673,,1754891823720,1754891823946,489,216,,,47,226
msg_1754891828461_zhgeahjtw,1754891828461,1754891828677,,1754891828838,1754891829061,600,216,,,161,223
msg_1754891833467_sklw5n7yw,1754891833467,1754891833689,,1754891833737,1754891833959,492,222,,,48,222
msg_1754891838469_f941q2t5f,1754891838469,1754891838691,,1754891838745,1754891838969,500,222,,,54,224
msg_1754891843481_6q7rk61zk,1754891843481,1754891843703,,1754891843891,1754891844120,639,222,,,188,229
msg_1754891848482_1map2jy3a,1754891848482,1754891848702,,1754891848892,1754891849115,633,220,,,190,223
msg_1754891853494_5bkyuc54x,1754891853494,1754891853714,,1754891853762,1754891853983,489,220,,,48,221
