messageId,T1,T2,T2_5,T3,T4,RTT_Total
msg_1755334903436_1jvj7druq,1755334903436,1755334901901,1755334901953,1755334903752,1755334903976,540
msg_1755334905936_yu5yzqrxk,1755334905936,1755334904400,1755334904498,1755334906297,1755334906521,585
msg_1755334908444_a5ly45mxz,1755334908444,1755334906908,1755334906969,1755334908768,1755334908986,542
msg_1755334910949_xlnsul4fi,1755334910949,1755334909413,1755334909566,1755334911365,1755334911587,638
msg_1755334913452_jrthi7qf3,1755334913452,1755334911912,1755334911979,1755334913779,1755334913998,546
msg_1755334915967_rhhkjeh0x,1755334915967,1755334914433,1755334914568,1755334916367,1755334916585,618
msg_1755334918468_1ikb9xpc5,1755334918468,1755334916931,1755334917001,1755334918800,1755334919017,549
msg_1755334920971_bxq4g5cuz,1755334920971,1755334919437,1755334919620,1755334921418,1755334921639,668
msg_1755334923476_csud902ss,1755334923476,1755334921936,1755334921994,1755334923794,1755334924016,540
msg_1755334925979_ypmjlntyi,1755334925979,1755334924444,1755334924586,1755334926385,1755334926603,624
msg_1755334928487_4ssf9uynb,1755334928487,1755334926951,1755334927096,1755334928894,1755334929112,625
msg_1755334931001_2y7qxhjrh,1755334931001,1755334929464,1755334929527,1755334931325,1755334931544,543
msg_1755334933510_7gazflshl,1755334933510,1755334931970,1755334932078,1755334933877,1755334934097,587
msg_1755334936022_48txx0byl,1755334936022,1755334934486,1755334934587,1755334936385,1755334936608,586
msg_1755334938533_53dg3rjrg,1755334938533,1755334936996,1755334937134,1755334938933,1755334939155,622
msg_1755334941047_snkqgjsfl,1755334941047,1755334939509,1755334939596,1755334941395,1755334941615,568
msg_1755334943560_2qodfhvwv,1755334943560,1755334942022,1755334942091,1755334943890,1755334944112,552
msg_1755334946070_qhma5iiam,1755334946070,1755334944536,1755334944710,1755334946508,1755334946726,656
msg_1755334948585_kpi6srcse,1755334948585,1755334947047,1755334947179,1755334948978,1755334949200,615
msg_1755334951097_u2vujh0zm,1755334951097,1755334949559,1755334949692,1755334951491,1755334951714,617
msg_1755334953606_at1wm197q,1755334953606,1755334952066,1755334952151,1755334953950,1755334954172,566
msg_1755334956110_dygqwfq4d,1755334956110,1755334954572,1755334954721,1755334956519,1755334956739,629
msg_1755334958620_d37q96eaw,1755334958620,1755334957085,1755334957295,1755334959093,1755334959313,693
msg_1755334961123_bnzitt2pe,1755334961123,1755334959585,1755334959692,1755334961491,1755334961709,586
msg_1755334963634_cfhu7h56g,1755334963634,1755334962096,1755334962154,1755334963952,1755334964179,545
msg_1755334966139_s57pl9mqi,1755334966139,1755334964605,1755334964693,1755334966492,1755334966715,576
msg_1755334968653_kth42uu97,1755334968653,1755334967116,1755334967231,1755334969030,1755334969252,599
msg_1755334971167_tu8zxydem,1755334971167,1755334969630,1755334969790,1755334971589,1755334971810,643
msg_1755334973681_hx2eaudi2,1755334973681,1755334972142,1755334972205,1755334974004,1755334974222,541
msg_1755334976184_tgcotvz1t,1755334976184,1755334974649,1755334974804,1755334976602,1755334976824,640
msg_1755334978699_vc4nmswuh,1755334978699,1755334977163,1755334977481,1755334979279,1755334979499,800
msg_1755334981211_whjp36nih,1755334981211,1755334979676,1755334979797,1755334981596,1755334981816,605
msg_1755334983714_2jgle68f5,1755334983714,1755334982177,1755334982235,1755334984034,1755334984255,541
msg_1755334986216_0dglj62pc,1755334986216,1755334984681,1755334984762,1755334986561,1755334986781,565
msg_1755334988721_lph9fljia,1755334988721,1755334987181,1755334987411,1755334989210,1755334989429,708
msg_1755334991223_qkwutn80k,1755334991223,1755334989687,1755334989788,1755334991587,1755334991807,584
msg_1755334993727_fsxc7y4iw,1755334993727,1755334992186,1755334992280,1755334994078,1755334994300,573
msg_1755334996241_cf1s8r67j,1755334996241,1755334994706,1755334994793,1755334996593,1755334996814,573
msg_1755334998743_btvn376f6,1755334998743,1755334997203,1755334997507,1755334999306,1755334999525,782
msg_1755335001254_h7vy2f725,1755335001254,1755334999716,1755335000102,1755335001901,1755335002120,866
msg_1755335003755_ffpnhml1u,1755335003755,1755335002215,1755335002279,1755335004079,1755335004302,547
msg_1755335006265_bhbm0iajw,1755335006265,1755335004728,1755335004894,1755335006693,1755335006916,651
