messageId,T1,T2,T2_5,T3,T4,RTT_Total,MQTT_to_WebSocket,WebSocket_Processing,Django_Processing,Django_to_Frontend,Frontend_to_MQTT
msg_1755156316380_uxfa8kahf,1755156316380,1755156315856,,1755156316716,1755156316938,558,-524,,,860,222
msg_1755156318881_q5kfcr60f,1755156318881,1755156318358,,1755156319389,1755156319616,735,-523,,,1031,227
msg_1755156321380_mdic17epl,1755156321380,1755156320860,,1755156321786,1755156322007,627,-520,,,926,221
msg_1755156323892_pwg8iiemu,1755156323892,1755156323364,,1755156324303,1755156324528,636,-528,,,939,225
msg_1755156326403_52l53fsp6,1755156326403,1755156325876,,1755156326731,1755156326956,553,-527,,,855,225
msg_1755156328905_we5oi2509,1755156328906,1755156328383,,1755156329547,1755156329768,862,-523,,,1164,221
msg_1755156331416_uok8l7amt,1755156331416,1755156330899,,1755156331777,1755156331997,581,-517,,,878,220
msg_1755156333923_3zyn245z7,1755156333923,1755156333397,,1755156334301,1755156334527,604,-526,,,904,226
msg_1755156336428_tstkzo9im,1755156336428,1755156335904,,1755156336765,1755156336990,562,-524,,,861,225
msg_1755156338941_twv53sowd,1755156338941,1755156338414,,1755156339318,1755156339539,598,-527,,,904,221
msg_1755156341455_iwubi9fe4,1755156341455,1755156340931,,1755156341809,1755156342038,583,-524,,,878,229
msg_1755156343961_uexv0i3z3,1755156343961,1755156343435,,1755156344371,1755156344592,631,-526,,,936,221
msg_1755156346461_smuv5eulc,1755156346461,1755156345937,,1755156346795,1755156347018,557,-524,,,858,223
msg_1755156348969_ypxwnk6np,1755156348969,1755156348459,,1755156349400,1755156349628,659,-510,,,941,228
msg_1755156351481_30bndcuf8,1755156351481,1755156350957,,1755156351891,1755156352112,631,-524,,,934,221
msg_1755156353993_7lafn5fui,1755156353993,1755156353469,,1755156354399,1755156354626,633,-524,,,930,227
msg_1755156356499_ts7cv0q9o,1755156356499,1755156355978,,1755156356896,1755156357117,618,-521,,,918,221
msg_1755156359005_ngkr6x3h1,1755156359005,1755156358481,,1755156359416,1755156359639,634,-524,,,935,223
msg_1755156361515_1yq0gza4h,1755156361515,1755156360992,,1755156361889,1755156362114,599,-523,,,897,225
msg_1755156364017_7g6dxdx7e,1755156364017,1755156363489,,1755156364436,1755156364662,645,-528,,,947,226
msg_1755156366528_mvgv7is0j,1755156366528,1755156366002,,1755156366885,1755156367106,578,-526,,,883,221
msg_1755156369032_hawxpubis,1755156369032,1755156368508,,1755156369418,1755156369645,613,-524,,,910,227
msg_1755156371543_4vlggwxk0,1755156371543,1755156371019,,1755156371891,1755156372113,570,-524,,,872,222
msg_1755156374048_776xjvw9e,1755156374048,1755156373526,,1755156374396,1755156374623,575,-522,,,870,227
msg_1755156376552_44fsl4w1n,1755156376552,1755156376027,,1755156376933,1755156377159,607,-525,,,906,226
msg_1755156379055_js1gqjhxk,1755156379055,1755156378528,,1755156379401,1755156379628,573,-527,,,873,227
msg_1755156381561_4t2bpp9tq,1755156381561,1755156381036,,1755156381911,1755156382136,575,-525,,,875,225
msg_1755156384062_sregjw6yo,1755156384062,1755156383536,,1755156384466,1755156384690,628,-526,,,930,224
msg_1755156386570_sneov87j3,1755156386570,1755156386046,,1755156386983,1755156387205,635,-524,,,937,222
msg_1755156389075_h0kvbnn0p,1755156389075,1755156388553,,1755156389501,1755156389728,653,-522,,,948,227
msg_1755156391575_rw7tzg4kp,1755156391575,1755156391056,,1755156391986,1755156392213,638,-519,,,930,227
msg_1755156394089_jl8ubgf6b,1755156394089,1755156393567,,1755156394499,1755156394724,635,-522,,,932,225
msg_1755156396589_uqotzxt9m,1755156396589,1755156396067,,1755156396929,1755156397159,570,-522,,,862,230
msg_1755156399097_6kjwobt2h,1755156399097,1755156398575,,1755156399517,1755156399739,642,-522,,,942,222
msg_1755156401609_kzp7pdfir,1755156401609,1755156401081,,1755156401944,1755156402175,566,-528,,,863,231
msg_1755156404116_9bw1z4dcw,1755156404116,1755156403592,,1755156404500,1755156404724,608,-524,,,908,224
msg_1755156406629_ig06v03e0,1755156406629,1755156406102,,1755156407015,1755156407240,611,-527,,,913,225
msg_1755156409138_z0zp9rtj8,1755156409138,1755156408614,,1755156409498,1755156409725,587,-524,,,884,227
msg_1755156411650_1jf63kgq9,1755156411650,1755156411129,,1755156411999,1755156412226,576,-521,,,870,227
msg_1755156414150_p0ca3tba7,1755156414150,1755156413625,,1755156414501,1755156414723,573,-525,,,876,222
msg_1755156416666_h49ck0y7o,1755156416666,1755156416146,,1755156417084,1755156417309,643,-520,,,938,225
msg_1755156419179_2owq852ai,1755156419179,1755156418657,,1755156419600,1755156419862,683,-522,,,943,262
msg_1755156421689_exrj2e4pq,1755156421689,1755156421167,,1755156422082,1755156422304,615,-522,,,915,222
msg_1755156424195_b6vfc04d8,1755156424195,1755156423671,,1755156424595,1755156424821,626,-524,,,924,226
msg_1755156426710_a0j0o68ov,1755156426710,1755156426188,,1755156427083,1755156427307,597,-522,,,895,224
msg_1755156429216_es39uk0dr,1755156429216,1755156428695,,1755156429608,1755156429833,617,-521,,,913,225
msg_1755156431719_d18x02v5j,1755156431719,1755156431194,,1755156432082,1755156432309,590,-525,,,888,227
msg_1755156434222_r470x9gv4,1755156434222,1755156433697,,1755156434691,1755156434919,697,-525,,,994,228
msg_1755156436725_vrir0jdoj,1755156436725,1755156436200,,1755156437113,1755156437338,613,-525,,,913,225
msg_1755156439227_t3fi1o4ul,1755156439227,1755156438702,,1755156439610,1755156439835,608,-525,,,908,225
msg_1755156441735_w5g6mw94d,1755156441735,1755156441211,,1755156442086,1755156442312,577,-524,,,875,226
msg_1755156444234_sy0pqba4w,1755156444234,1755156443708,,1755156444632,1755156444857,623,-526,,,924,225
msg_1755156446747_mih3egaku,1755156446747,1755156446220,,1755156447095,1755156447318,571,-527,,,875,223
msg_1755156449250_jemmsbale,1755156449250,1755156448725,,1755156449604,1755156449829,579,-525,,,879,225
msg_1755156451765_cu4k6x4xx,1755156451765,1755156451247,,1755156452110,1755156452336,571,-518,,,863,226
msg_1755156454265_vytqfmm2p,1755156454265,1755156453743,,1755156454687,1755156454910,645,-522,,,944,223
msg_1755156456780_sgrd6022o,1755156456780,1755156456257,,1755156457115,1755156457337,557,-523,,,858,222
msg_1755156459280_zp0wsuynr,1755156459280,1755156458754,,1755156459701,1755156459929,649,-526,,,947,228
msg_1755156461783_5317k6pu8,1755156461783,1755156461262,,1755156462115,1755156462343,560,-521,,,853,228
msg_1755156464298_i5wbouyh5,1755156464298,1755156463775,,1755156464727,1755156464980,682,-523,,,952,253
msg_1755156466801_q2mfu1l63,1755156466801,1755156466275,,1755156467131,1755156467359,558,-526,,,856,228
msg_1755156469307_v5bg8p35j,1755156469307,1755156468786,,1755156469700,1755156469922,615,-521,,,914,222
msg_1755156471821_slwckhjux,1755156471821,1755156471297,,1755156472183,1755156472410,589,-524,,,886,227
msg_1755156474327_14931vd8k,1755156474327,1755156473802,,1755156474701,1755156474926,599,-525,,,899,225
msg_1755156476830_6cs5e5t0g,1755156476830,1755156476309,,1755156477170,1755156477394,564,-521,,,861,224
msg_1755156479329_tf6z1tarm,1755156479329,1755156478806,,1755156479706,1755156479928,599,-523,,,900,222
msg_1755156481843_mfofvuwov,1755156481843,1755156481320,,1755156482183,1755156482412,569,-523,,,863,229
msg_1755156484355_e0q0ehj8f,1755156484355,1755156483830,,1755156484811,1755156485034,679,-525,,,981,223
msg_1755156486869_rbulrqi4r,1755156486869,1755156486342,,1755156487229,1755156487487,618,-527,,,887,258
msg_1755156489375_zwrcqk4ls,1755156489375,1755156488854,,1755156489809,1755156490033,658,-521,,,955,224
msg_1755156491885_ag1qdfyqf,1755156491885,1755156491358,,1755156492283,1755156492506,621,-527,,,925,223
msg_1755156494399_apikwxbql,1755156494399,1755156493880,,1755156494802,1755156495026,627,-519,,,922,224
msg_1755156496901_zagg25yyb,1755156496901,1755156496378,,1755156497236,1755156497459,558,-523,,,858,223
msg_1755156499409_og2og8cco,1755156499409,1755156498884,,1755156499798,1755156500024,615,-525,,,914,226
msg_1755156501923_syh2qgw5g,1755156501923,1755156501396,,1755156502290,1755156502513,590,-527,,,894,223
msg_1755156504428_xfqxnwc9e,1755156504428,1755156503906,,1755156504803,1755156505030,602,-522,,,897,227
msg_1755156506931_mw6zg79nm,1755156506931,1755156506406,,1755156507334,1755156507557,626,-525,,,928,223
msg_1755156509436_97r4cen63,1755156509437,1755156508915,,1755156509798,1755156510026,589,-522,,,883,228
msg_1755156511943_juz4dwv9r,1755156511943,1755156511445,,1755156512306,1755156512527,584,-498,,,861,221
msg_1755156514449_1qbtuwahv,1755156514449,1755156513931,,1755156514874,1755156515103,654,-518,,,943,229
msg_1755156516958_hee97sxch,1755156516958,1755156516432,,1755156517294,1755156517516,558,-526,,,862,222
msg_1755156519463_9dafgu10a,1755156519463,1755156518936,,1755156519872,1755156520099,636,-527,,,936,227
msg_1755156521973_i86c3fg31,1755156521973,1755156521449,,1755156522306,1755156522536,563,-524,,,857,230
msg_1755156524482_x6dwi04bc,1755156524482,1755156523957,,1755156524817,1755156525043,561,-525,,,860,226
msg_1755156526986_urbtjun92,1755156526986,1755156526461,,1755156527323,1755156527548,562,-525,,,862,225
msg_1755156529492_u0mg5moua,1755156529492,1755156528970,,1755156529891,1755156530117,625,-522,,,921,226
msg_1755156531996_l2h078iik,1755156531996,1755156531475,,1755156532385,1755156532613,617,-521,,,910,228
msg_1755156534499_wpsejedls,1755156534499,1755156533972,,1755156534901,1755156535125,626,-527,,,929,224
msg_1755156537013_bi76ok4ix,1755156537013,1755156536488,,1755156537352,1755156537582,569,-525,,,864,230
msg_1755156539514_a63o4oi2e,1755156539514,1755156538990,,1755156539902,1755156540126,612,-524,,,912,224
msg_1755156542014_xhm6ode1e,1755156542014,1755156541493,,1755156542386,1755156542609,595,-521,,,893,223
msg_1755156544515_fbrah8dtx,1755156544515,1755156543992,,1755156544921,1755156545148,633,-523,,,929,227
msg_1755156547014_da43g0jkd,1755156547014,1755156546492,,1755156547358,1755156547586,572,-522,,,866,228
msg_1755156549520_hdr4qlqbh,1755156549520,1755156548999,,1755156549904,1755156550131,611,-521,,,905,227
msg_1755156552025_otnt7gao6,1755156552025,1755156551499,,1755156552384,1755156552608,583,-526,,,885,224
msg_1755156554525_bqe5jjysh,1755156554525,1755156554001,,1755156554901,1755156555126,601,-524,,,900,225
msg_1755156557038_5kcp0iyp5,1755156557038,1755156556519,,1755156557385,1755156557609,571,-519,,,866,224
