messageId,T1,T2,T2_5,T3,T4,RTT_Total,MQTT_to_WebSocket,WebSocket_Processing,Django_Processing,Django_to_Frontend,Frontend_to_MQTT
msg_1755076808641_ttpr0jgw8,1755076808641,1755076807610,1755076807691,1755076808981,1755076809206,565,-1031,81,81,1290,225
msg_1755076811153_xwj784y4n,1755076811153,1755076810130,1755076810309,1755076811599,1755076811823,670,-1023,179,179,1290,224
msg_1755076813656_fcpek8bjw,1755076813656,1755076812633,1755076812831,1755076814122,1755076814345,689,-1023,198,198,1291,223
msg_1755076816164_nwzqkvgpp,1755076816164,1755076815144,1755076815585,1755076816875,1755076817097,933,-1020,441,441,1290,222
msg_1755076818675_1ziowctxi,1755076818675,1755076817651,1755076817790,1755076819080,1755076819309,634,-1024,139,139,1290,229
msg_1755076821189_c7hesn16l,1755076821189,1755076820167,1755076820234,1755076821524,1755076821744,555,-1022,67,67,1290,220
msg_1755076823697_pxktm329g,1755076823697,1755076822671,1755076822796,1755076824087,1755076824307,610,-1026,125,125,1291,220
msg_1755076826202_0k07mmne3,1755076826202,1755076825175,1755076825243,1755076826534,1755076826754,552,-1027,68,68,1291,220
msg_1755076828703_9irgtj2ht,1755076828703,1755076827673,1755076827789,1755076829079,1755076829302,599,-1030,116,116,1290,223
msg_1755076831215_ypt3tmyxp,1755076831215,1755076830191,1755076830260,1755076831550,1755076831773,558,-1024,69,69,1290,223
msg_1755076833718_bbraesrkl,1755076833718,1755076832700,1755076832798,1755076834088,1755076834309,591,-1018,98,98,1290,221
msg_1755076836225_npbej1kb5,1755076836225,1755076835199,1755076835264,1755076836554,1755076836778,553,-1026,65,65,1290,224
msg_1755076838725_ym5yytc26,1755076838725,1755076837697,1755076837789,1755076839079,1755076839299,574,-1028,92,92,1290,220
msg_1755076841229_6fsg3rdqu,1755076841229,1755076840206,1755076840268,1755076841558,1755076841783,554,-1023,62,62,1290,225
msg_1755076843735_yhapvkb01,1755076843735,1755076842713,1755076842796,1755076844086,1755076844305,570,-1022,83,83,1290,219
msg_1755076846247_n8q5d4xvw,1755076846247,1755076845218,1755076845288,1755076846578,1755076846804,557,-1029,70,70,1290,226
msg_1755076848751_tnwmho5a0,1755076848751,1755076847725,1755076847857,1755076849147,1755076849372,621,-1026,132,132,1290,225
msg_1755076851256_wgbyapw3m,1755076851256,1755076850234,1755076850311,1755076851601,1755076851823,567,-1022,77,77,1290,222
msg_1755076853766_p369p7k6n,1755076853766,1755076852743,1755076852894,1755076854183,1755076854403,637,-1023,151,151,1289,220
msg_1755076856278_6z6l1g5er,1755076856278,1755076855250,1755076855317,1755076856607,1755076856830,552,-1028,67,67,1290,223
msg_1755076858782_1hr8onsyd,1755076858782,1755076857757,1755076857933,1755076859223,1755076859445,663,-1025,176,176,1290,222
msg_1755076861290_dxt5ktta0,1755076861290,1755076860263,1755076860390,1755076861682,1755076861903,613,-1027,127,127,1292,221
msg_1755076863798_xnq2pthpi,1755076863798,1755076862775,1755076863003,1755076864293,1755076864515,717,-1023,228,228,1290,222
msg_1755076866308_8pm8rgu4b,1755076866308,1755076865285,1755076865378,1755076866667,1755076866889,581,-1023,93,93,1289,222
msg_1755076868817_d9bif6tch,1755076868817,1755076867797,1755076867897,1755076869187,1755076869412,595,-1020,100,100,1290,225
msg_1755076871322_53tnk1bxs,1755076871322,1755076870297,1755076870390,1755076871680,1755076871906,584,-1025,93,93,1290,226
msg_1755076873830_gw95i5edb,1755076873830,1755076872820,1755076872993,1755076874283,1755076874508,678,-1010,173,173,1290,225
msg_1755076876342_p6348lmcx,1755076876342,1755076875320,1755076875676,1755076876966,1755076877192,850,-1022,356,356,1290,226
msg_1755076878848_cllzrr9qp,1755076878848,1755076877822,1755076877894,1755076879184,1755076879406,558,-1026,72,72,1290,222
msg_1755076881352_wb2lb1ufa,1755076881352,1755076880329,1755076880393,1755076881683,1755076881902,550,-1023,64,64,1290,219
msg_1755076883857_iz78i0bvo,1755076883857,1755076882833,1755076882968,1755076884259,1755076884481,624,-1024,135,135,1291,222
msg_1755076886362_ppl7iyreg,1755076886362,1755076885333,1755076885413,1755076886703,1755076886933,571,-1029,80,80,1290,230
msg_1755076888868_qy8n50x3b,1755076888868,1755076887844,1755076887995,1755076889285,1755076889505,637,-1024,151,151,1290,220
msg_1755076891380_22u8lnv5v,1755076891380,1755076890363,1755076890434,1755076891723,1755076891949,569,-1017,71,71,1289,226
msg_1755076893886_k8q08r4tg,1755076893886,1755076892861,1755076892994,1755076894283,1755076894505,619,-1025,133,133,1289,222
msg_1755076896393_vhogelc74,1755076896393,1755076895369,1755076895444,1755076896734,1755076896956,563,-1024,75,75,1290,222
msg_1755076898900_hvixhvrkh,1755076898900,1755076897876,1755076897990,1755076899280,1755076899502,602,-1024,114,114,1290,222
msg_1755076901404_56xaxqafb,1755076901404,1755076900384,1755076900441,1755076901731,1755076901953,549,-1020,57,57,1290,222
msg_1755076903914_yhussihgw,1755076903914,1755076902888,1755076903007,1755076904297,1755076904520,606,-1026,119,119,1290,223
msg_1755076906414_vp6ocab5v,1755076906414,1755076905393,1755076905464,1755076906754,1755076906977,563,-1021,71,71,1290,223
msg_1755076908919_f565laoo3,1755076908919,1755076907890,1755076907947,1755076909236,1755076909460,541,-1029,57,57,1289,224
msg_1755076911423_or1wbmnl7,1755076911423,1755076910399,1755076910463,1755076911753,1755076911976,553,-1024,64,64,1290,223
msg_1755076913927_0mtebqkpb,1755076913927,1755076912903,1755076912988,1755076914278,1755076914498,571,-1024,85,85,1290,220
msg_1755076916438_5ry7afcfs,1755076916438,1755076915412,1755076915490,1755076916780,1755076917004,566,-1026,78,78,1290,224
msg_1755076918947_dr1gvhst3,1755076918947,1755076917920,1755076918067,1755076919357,1755076919580,633,-1027,147,147,1290,223
msg_1755076921455_j8l1iqkh2,1755076921455,1755076920424,1755076920486,1755076921776,1755076921999,544,-1031,62,62,1290,223
msg_1755076923963_vo9xkvteb,1755076923963,1755076922932,1755076923059,1755076924348,1755076924572,609,-1031,127,127,1289,224
msg_1755076926475_riglinh4u,1755076926476,1755076925450,1755076925510,1755076926800,1755076927024,548,-1026,60,60,1290,224
msg_1755076928977_gtc4pd8w6,1755076928977,1755076927949,1755076928118,1755076929408,1755076929628,651,-1028,169,169,1290,220
