messageId,T1,T2,T2_5,T3,T4,RTT_Total,MQTT_to_WebSocket,WebSocket_Processing,Django_Processing,Django_to_Frontend,Frontend_to_MQTT
msg_1754892565737_mrzx4xl9w,1754892565737,1754892565952,1754892566000,1754892566001,1754892566230,493,215,48,48,1,229
msg_1754892568745_115ui6law,1754892568745,1754892568964,1754892569013,1754892569014,1754892569249,504,219,49,49,1,235
msg_1754892571754_n6qi5qnc0,1754892571754,1754892571969,1754892572008,1754892572009,1754892572235,481,215,39,39,1,226
msg_1754892574759_9wxzxnj2o,1754892574759,1754892574976,1754892575016,1754892575017,1754892575242,483,217,40,40,1,225
msg_1754892577762_qmlha5xyv,1754892577762,1754892577979,1754892578028,1754892578029,1754892578256,494,217,49,49,1,227
msg_1754892580774_5a3dft134,1754892580774,1754892580990,1754892581037,1754892581038,1754892581263,489,216,47,47,1,225
msg_1754892583777_n5hidluth,1754892583777,1754892583995,1754892584041,1754892584042,1754892584271,494,218,46,46,1,229
msg_1754892586780_x6kh0nwmu,1754892586780,1754892586997,1754892587042,1754892587042,1754892587274,494,217,45,45,,232
msg_1754892589782_ect42dr8f,1754892589782,1754892589999,1754892590045,1754892590046,1754892590272,490,217,46,46,1,226
msg_1754892592783_v8b4asjip,1754892592783,1754892593001,1754892593044,1754892593045,1754892593274,491,218,43,43,1,229
msg_1754892595785_clr0mwkx5,1754892595785,1754892596002,1754892596048,1754892596049,1754892596275,490,217,46,46,1,226
msg_1754892598787_hfa8bdw9a,1754892598787,1754892599003,1754892599051,1754892599053,1754892599281,494,216,48,48,2,228
msg_1754892601801_mls88eut4,1754892601801,1754892602019,1754892602095,1754892602096,1754892602320,519,218,76,76,1,224
msg_1754892604802_n9fmssvfu,1754892604802,1754892605022,1754892605063,1754892605064,1754892605288,486,220,41,41,1,224
msg_1754892607803_obdqpah8s,1754892607803,1754892608143,1754892608189,1754892608190,1754892608419,616,340,46,46,1,229
msg_1754892610806_ltfae4754,1754892610806,1754892611021,1754892611095,1754892611096,1754892611326,520,215,74,74,1,230
msg_1754892613810_br1y2gukt,1754892613810,1754892614029,1754892614111,1754892614112,1754892614340,530,219,82,82,1,228
msg_1754892616825_nbaiwib3w,1754892616825,1754892617043,1754892617092,1754892617094,1754892617317,492,218,49,49,2,223
msg_1754892619829_jcoo9iyqj,1754892619829,1754892620048,1754892620098,1754892620100,1754892620328,499,219,50,50,2,228
msg_1754892622837_gehwte74f,1754892622837,1754892623054,1754892623101,1754892623102,1754892623331,494,217,47,47,1,229
msg_1754892625844_ck5pv0z9r,1754892625844,1754892626064,1754892626145,1754892626146,1754892626372,528,220,81,81,1,226
msg_1754892628853_3vep0p92w,1754892628853,1754892629073,1754892629117,1754892629118,1754892629347,494,220,44,44,1,229
msg_1754892631860_l354feneb,1754892631860,1754892632076,1754892632126,1754892632127,1754892632353,493,216,50,50,1,226
msg_1754892634868_704upa91e,1754892634868,1754892635088,1754892635167,1754892635168,1754892635398,530,220,79,79,1,230
