messageId,T1,T2,T2_5,T3,T4,RTT_Total,MQTT_to_WebSocket,WebSocket_Processing,Django_Processing,Django_to_Frontend,Frontend_to_MQTT
msg_1754900047516_1unjy2dba,1754900047516,1754900048002,1754900048173,1754900047953,1754900048177,661,486,171,171,-220,224
msg_1754900050521_sycaj77kz,1754900050521,1754900051010,1754900051185,1754900050966,1754900051189,668,489,175,175,-219,223
msg_1754900053525_xrsw7m0s6,1754900053525,1754900054013,1754900054092,1754900053872,1754900054096,571,488,79,79,-220,224
msg_1754900056536_z6nn9isis,1754900056536,1754900057026,1754900057263,1754900057043,1754900057264,728,490,237,237,-220,221
msg_1754900059542_gdz3vrma1,1754900059542,1754900060029,1754900060185,1754900059965,1754900060187,645,487,156,156,-220,222
msg_1754900062555_a32kgvin4,1754900062555,1754900063043,1754900063164,1754900062945,1754900063163,608,488,121,121,-219,218
msg_1754900065556_mq42knixk,1754900065556,1754900066049,1754900066193,1754900065974,1754900066194,638,493,144,144,-219,220
msg_1754900068568_3suqua7nc,1754900068568,1754900069054,1754900069105,1754900068885,1754900069108,540,486,51,51,-220,223
msg_1754900071577_1d0cs1r6i,1754900071577,1754900072067,1754900072200,1754900071980,1754900072202,625,490,133,133,-220,222
msg_1754900074587_5r1phqh89,1754900074587,1754900075075,1754900075191,1754900074971,1754900075190,603,488,116,116,-220,219
msg_1754900077601_qicmq3mzv,1754900077601,1754900078089,1754900078276,1754900078056,1754900078274,673,488,187,187,-220,218
msg_1754900080610_kwyrtyps7,1754900080610,1754900081100,1754900081273,1754900081053,1754900081272,662,490,173,173,-220,219
msg_1754900083619_n4whzjwnf,1754900083619,1754900084111,1754900084243,1754900084036,1754900084258,639,492,132,132,-207,222
msg_1754900086629_pa3rmn339,1754900086629,1754900087118,1754900087386,1754900087166,1754900087387,758,489,268,268,-220,221
msg_1754900089638_uwfb0ulji,1754900089638,1754900090178,1754900090365,1754900090145,1754900090369,731,540,187,187,-220,224
msg_1754900092644_inr9wu8mv,1754900092644,1754900093135,1754900093283,1754900093063,1754900093281,637,491,148,148,-220,218
msg_1754900095654_46xm2qwca,1754900095654,1754900096141,1754900096267,1754900096047,1754900096270,616,487,126,126,-220,223
msg_1754900098664_fp2j67cpr,1754900098664,1754900099151,1754900099201,1754900098981,1754900099201,537,487,50,50,-220,220
msg_1754900101673_rjg3d53cs,1754900101673,1754900102163,1754900102292,1754900102072,1754900102291,618,490,129,129,-220,219
msg_1754900104685_hmm473ibc,1754900104685,1754900105174,1754900105276,1754900105056,1754900105277,592,489,102,102,-220,221
msg_1754900107693_n9uciqvc1,1754900107693,1754900108182,1754900108400,1754900108180,1754900108400,707,489,218,218,-220,220
msg_1754900110706_zhhb5pe5q,1754900110706,1754900111193,1754900111377,1754900111157,1754900111379,673,487,184,184,-220,222
msg_1754900113715_ycd8ywffu,1754900113715,1754900114202,1754900114296,1754900114076,1754900114299,584,487,94,94,-220,223
msg_1754900116729_6968dbpbg,1754900116729,1754900117215,1754900117493,1754900117273,1754900117498,769,486,278,278,-220,225
msg_1754900119732_o5frdeskm,1754900119732,1754900120218,1754900120370,1754900120150,1754900120369,637,486,152,152,-220,219
msg_1754900122741_xa487f94c,1754900122741,1754900123230,1754900123294,1754900123074,1754900123295,554,489,64,64,-220,221
msg_1754900125750_01s9v5mxi,1754900125750,1754900126239,1754900126390,1754900126170,1754900126394,644,489,151,151,-220,224
msg_1754900128763_5d3wmpbz9,1754900128763,1754900129251,1754900129301,1754900129081,1754900129298,535,488,50,50,-220,217
msg_1754900131775_pr5151k23,1754900131775,1754900132261,1754900132400,1754900132181,1754900132402,627,486,139,139,-219,221
msg_1754900134785_rmhgj7ojy,1754900134785,1754900135270,1754900135385,1754900135166,1754900135385,600,485,115,115,-219,219
msg_1754900137794_xcj9s3czs,1754900137794,1754900138280,1754900138395,1754900138175,1754900138397,603,486,115,115,-220,222
msg_1754900140806_9uhvnxkxz,1754900140806,1754900141293,1754900141392,1754900141173,1754900141391,585,487,99,99,-219,218
msg_1754900143812_uwouqm6or,1754900143812,1754900144300,1754900144393,1754900144173,1754900144392,580,488,93,93,-220,219
msg_1754900146822_3l7wdxn2d,1754900146822,1754900147307,1754900147587,1754900147367,1754900147589,767,485,280,280,-220,222
msg_1754900149834_iu5lc2454,1754900149834,1754900150417,1754900150570,1754900150351,1754900150572,738,583,153,153,-219,221
msg_1754900152843_7uczvajs6,1754900152843,1754900153331,1754900153400,1754900153180,1754900153402,559,488,69,69,-220,222
msg_1754900155850_gq0zydgt3,1754900155850,1754900156335,1754900156461,1754900156241,1754900156458,608,485,126,126,-220,217
msg_1754900158857_eu6q9naud,1754900158857,1754900159344,1754900159391,1754900159171,1754900159389,532,487,47,47,-220,218
msg_1754900161865_b81qgzcll,1754900161865,1754900162353,1754900162490,1754900162270,1754900162487,622,488,137,137,-220,217
msg_1754900164873_jrlmi0jr7,1754900164873,1754900165361,1754900165480,1754900165260,1754900165482,609,488,119,119,-220,222
msg_1754900167883_nxr2q9wto,1754900167883,1754900168369,1754900168585,1754900168366,1754900168587,704,486,216,216,-219,221
msg_1754900170894_lm680yknj,1754900170894,1754900171385,1754900171587,1754900171367,1754900171585,691,491,202,202,-220,218
msg_1754900173903_4l580fq97,1754900173903,1754900174389,1754900174571,1754900174351,1754900174571,668,486,182,182,-220,220
msg_1754900176913_kvs2xm0i1,1754900176913,1754900177403,1754900177591,1754900177371,1754900177590,677,490,188,188,-220,219
