messageId,T1,T2,T2_5,T3,T4,RTT_Total,MQTT_to_WebSocket,WebSocket_Processing,Django_Processing,Django_to_Frontend,Frontend_to_MQTT
msg_1755173636909_k2b864mn5,1755173636909,1755173636425,,1755173637277,1755173637512,603,-484,,,852,235
msg_1755173639416_qqkenwal8,1755173639416,1755173638934,,1755173640048,1755173640276,860,-482,,,1114,228
msg_1755173641932_c8pvw4kkt,1755173641932,1755173641445,,1755173642275,1755173642497,565,-487,,,830,222
msg_1755173644441_0dbtnzwl6,1755173644441,1755173643955,,1755173644861,1755173645086,645,-486,,,906,225
msg_1755173646943_mwqdbt885,1755173646943,1755173646459,,1755173647341,1755173647564,621,-484,,,882,223
msg_1755173649457_ai9r42b5u,1755173649457,1755173648973,,1755173649860,1755173650086,629,-484,,,887,226
msg_1755173651969_vi6f2f0gc,1755173651969,1755173651487,,1755173652329,1755173652551,582,-482,,,842,222
msg_1755173654477_zch2h4c85,1755173654477,1755173653994,,1755173654883,1755173655105,628,-483,,,889,222
msg_1755173656983_jmi30zwe6,1755173656983,1755173656499,,1755173657321,1755173657542,559,-484,,,822,221
msg_1755173659487_pfbwx2bei,1755173659487,1755173659005,,1755173659856,1755173660079,592,-482,,,851,223
msg_1755173661993_r4i4kz4t0,1755173661993,1755173661506,,1755173662331,1755173662558,565,-487,,,825,227
msg_1755173664498_lswe3huzc,1755173664498,1755173664013,,1755173664862,1755173665082,584,-485,,,849,220
msg_1755173667005_v8b7cbncg,1755173667005,1755173666519,,1755173667358,1755173667586,581,-486,,,839,228
msg_1755173669506_pvho6cn1z,1755173669506,1755173669024,,1755173669861,1755173670087,581,-482,,,837,226
msg_1755173672008_psh7ygcib,1755173672008,1755173671523,,1755173672360,1755173672584,576,-485,,,837,224
msg_1755173674514_1xqryg6ge,1755173674514,1755173674032,,1755173674955,1755173675176,662,-482,,,923,221
msg_1755173677027_c2pm0m8ca,1755173677027,1755173676545,,1755173677370,1755173677594,567,-482,,,825,224
msg_1755173679540_i19yfns6x,1755173679540,1755173679053,,1755173679966,1755173680193,653,-487,,,913,227
msg_1755173682054_t4fnqxb3g,1755173682055,1755173681636,,1755173682466,1755173682688,633,-419,,,830,222
msg_1755173684560_z9eb211sc,1755173684560,1755173684076,,1755173684956,1755173685180,620,-484,,,880,224
msg_1755173687061_ai6t3xcjv,1755173687061,1755173686580,,1755173687411,1755173687635,574,-481,,,831,224
msg_1755173689571_ian1lbbup,1755173689571,1755173689087,,1755173689950,1755173690174,603,-484,,,863,224
msg_1755173692075_lhvq9mcc4,1755173692075,1755173691592,,1755173692444,1755173692672,597,-483,,,852,228
