messageId,T1,T2,T2_5,T3,T4,RTT_Total,MQTT_to_WebSocket,WebSocket_Processing,Django_Processing,Django_to_Frontend,Frontend_to_MQTT
msg_1754959319437_ys8mtb3vl,1754959319437,1754959319948,1754959320066,1754959319828,1754959320048,611,511,118,118,-238,220
msg_1754959321948_rzdjxud72,1754959321948,1754959322455,1754959322595,1754959322356,1754959322578,630,507,140,140,-239,222
msg_1754959324456_enmeb65e2,1754959324456,1754959324964,1754959325094,1754959324854,1754959325071,615,508,130,130,-240,217
msg_1754959326965_7gxotzfro,1754959326965,1754959327471,1754959327694,1754959327454,1754959327677,712,506,223,223,-240,223
msg_1754959329471_h0d5qp65v,1754959329471,1754959329981,1754959330075,1754959329836,1754959330053,582,510,94,94,-239,217
msg_1754959331979_20va60y4k,1754959331980,1754959332489,1754959332670,1754959332430,1754959332651,671,509,181,181,-240,221
msg_1754959334485_3buq2hmqs,1754959334485,1754959334995,1754959335383,1754959335145,1754959335363,878,510,388,388,-238,218
msg_1754959336985_895e6hcyh,1754959336985,1754959337493,1754959337698,1754959337458,1754959337680,695,508,205,205,-240,222
msg_1754959339496_ph267muxk,1754959339496,1754959340000,1754959340088,1754959339848,1754959340068,572,504,88,88,-240,220
msg_1754959341999_8jzzya84s,1754959341999,1754959342504,1754959342693,1754959342454,1754959342670,671,505,189,189,-239,216
msg_1754959344509_4q3x6nagn,1754959344509,1754959345019,1754959345273,1754959345033,1754959345254,745,510,254,254,-240,221
msg_1754959347011_k47j40dhk,1754959347011,1754959347520,1754959347689,1754959347450,1754959347668,657,509,169,169,-239,218
msg_1754959349517_chjdamal5,1754959349517,1754959350022,1754959350095,1754959349855,1754959350075,558,505,73,73,-240,220
msg_1754959352029_6kuwm839g,1754959352029,1754959352536,1754959352691,1754959352451,1754959352669,640,507,155,155,-240,218
msg_1754959354540_wn6yxqxgn,1754959354540,1754959355048,1754959355169,1754959354929,1754959355150,610,508,121,121,-240,221
msg_1754959357041_fdmhkzmpr,1754959357041,1754959357549,1754959357670,1754959357431,1754959357650,609,508,121,121,-239,219
msg_1754959359550_5r0hqei5b,1754959359550,1754959360059,1754959360170,1754959359930,1754959360149,599,509,111,111,-240,219
msg_1754959362050_anj7msuou,1754959362050,1754959362560,1754959362769,1754959362530,1754959362745,695,510,209,209,-239,215
msg_1754959364560_jce2bfakk,1754959364560,1754959365126,1754959365277,1754959365038,1754959365257,697,566,151,151,-239,219
