messageId,T1,T2,T2_5,T3,T4,RTT_Total,MQTT_to_WebSocket,WebSocket_Processing,Django_Processing,Django_to_Frontend,Frontend_to_MQTT
msg_1755159071045_idm4mzwm2,1755159071045,1755159070523,,1755159071387,1755159071612,567,-522,,,864,225
msg_1755159073553_f4bf2f6af,1755159073553,1755159073033,,1755159073891,1755159074114,561,-520,,,858,223
msg_1755159076068_qp9grs0f9,1755159076068,1755159075546,,1755159076601,1755159076822,754,-522,,,1055,221
msg_1755159078577_bva92qbsb,1755159078577,1755159078055,,1755159079000,1755159079223,646,-522,,,945,223
msg_1755159081085_lc9k3e0vh,1755159081085,1755159080563,,1755159081478,1755159081698,613,-522,,,915,220
msg_1755159083597_p7fgwj909,1755159083597,1755159083094,,1755159083999,1755159084224,627,-503,,,905,225
msg_1755159086105_dv6cwyoqb,1755159086105,1755159085578,,1755159086457,1755159086682,577,-527,,,879,225
msg_1755159088617_h30x4rdwj,1755159088617,1755159088087,,1755159089032,1755159089252,635,-530,,,945,220
msg_1755159091131_9pze1ya8a,1755159091131,1755159090601,,1755159091460,1755159091683,552,-530,,,859,223
msg_1755159093638_lqyy0r4jm,1755159093638,1755159093116,,1755159093992,1755159094216,578,-522,,,876,224
msg_1755159096139_h0fdbz5po,1755159096139,1755159095617,,1755159096490,1755159096712,573,-522,,,873,222
msg_1755159098650_f79pvd32a,1755159098650,1755159098125,,1755159099002,1755159099225,575,-525,,,877,223
msg_1755159101154_3wm5cpng8,1755159101154,1755159100630,,1755159101510,1755159101731,577,-524,,,880,221
msg_1755159103661_opjctxp8s,1755159103661,1755159103137,,1755159104067,1755159104288,627,-524,,,930,221
msg_1755159106166_ocbkri4ih,1755159106166,1755159105641,,1755159106498,1755159106720,554,-525,,,857,222
msg_1755159108670_5jlh6of3k,1755159108670,1755159108146,,1755159109084,1755159109337,667,-524,,,938,253
msg_1755159111179_1f1ap8n78,1755159111179,1755159110656,,1755159111537,1755159111758,579,-523,,,881,221
msg_1755159113692_mf3eox90m,1755159113692,1755159113167,,1755159114375,1755159114595,903,-525,,,1208,220
msg_1755159116194_6ivjo6al6,1755159116194,1755159115672,,1755159116522,1755159116741,547,-522,,,850,219
msg_1755159118694_y1ajp4gan,1755159118694,1755159118170,,1755159119106,1755159119325,631,-524,,,936,219
msg_1755159121200_9rnl56mzi,1755159121200,1755159120674,,1755159121639,1755159121860,660,-526,,,965,221
msg_1755159123702_wr7nk9yf2,1755159123702,1755159123181,,1755159124099,1755159124319,617,-521,,,918,220
msg_1755159126217_oh6ugop71,1755159126217,1755159125690,,1755159126554,1755159126781,564,-527,,,864,227
msg_1755159128723_7ah4k5j5h,1755159128723,1755159128208,,1755159129100,1755159129325,602,-515,,,892,225
msg_1755159131232_fqngvp1ax,1755159131232,1755159130724,,1755159131601,1755159131824,592,-508,,,877,223
msg_1755159133731_4m9hq9yff,1755159133731,1755159133210,,1755159134127,1755159134351,620,-521,,,917,224
msg_1755159136240_isothsr3u,1755159136240,1755159135715,,1755159136615,1755159136837,597,-525,,,900,222
msg_1755159138744_fxtlqkmba,1755159138744,1755159138221,,1755159139175,1755159139399,655,-523,,,954,224
msg_1755159141258_mw0hcn1yx,1755159141258,1755159140734,,1755159141587,1755159141810,552,-524,,,853,223
msg_1755159143758_ohp2p5zcv,1755159143758,1755159143237,,1755159144181,1755159144402,644,-521,,,944,221
msg_1755159146261_ks3d8f5qk,1755159146261,1755159145742,,1755159146617,1755159146837,576,-519,,,875,220
msg_1755159148766_jl32zidqv,1755159148766,1755159148239,,1755159149207,1755159149430,664,-527,,,968,223
msg_1755159151269_ldock3fy5,1755159151269,1755159150743,,1755159151599,1755159151823,554,-526,,,856,224
msg_1755159153774_d30qkch7w,1755159153774,1755159153247,,1755159154212,1755159154435,661,-527,,,965,223
msg_1755159156274_bkc6hpaks,1755159156274,1755159155746,,1755159156682,1755159156906,632,-528,,,936,224
msg_1755159158784_qe742l38o,1755159158784,1755159158258,,1755159159200,1755159159423,639,-526,,,942,223
msg_1755159161290_0xmw5iu4p,1755159161290,1755159160765,,1755159161678,1755159161900,610,-525,,,913,222
msg_1755159163791_fk4sxf40x,1755159163791,1755159163269,,1755159164194,1755159164413,622,-522,,,925,219
msg_1755159166297_54oh7mbtn,1755159166297,1755159165773,,1755159166642,1755159166866,569,-524,,,869,224
msg_1755159168805_xhvg6sc5d,1755159168805,1755159168278,,1755159169189,1755159169412,607,-527,,,911,223
msg_1755159171314_grn1b01i0,1755159171314,1755159170789,,1755159171644,1755159171864,550,-525,,,855,220
msg_1755159173814_gx0as3u22,1755159173814,1755159173288,,1755159174197,1755159174417,603,-526,,,909,220
msg_1755159176324_gfx84krql,1755159176324,1755159175799,,1755159176703,1755159176926,602,-525,,,904,223
msg_1755159178833_6jxkw9qgy,1755159178833,1755159178309,,1755159179301,1755159179525,692,-524,,,992,224
msg_1755159181340_ilzwbse2s,1755159181340,1755159180815,,1755159181706,1755159181928,588,-525,,,891,222
msg_1755159183842_vqcyh8ljv,1755159183842,1755159183320,,1755159184270,1755159184490,648,-522,,,950,220
msg_1755159186349_r0ur6f3ot,1755159186349,1755159185823,,1755159186703,1755159186923,574,-526,,,880,220
msg_1755159188852_ostidgjke,1755159188852,1755159188327,,1755159189195,1755159189416,564,-525,,,868,221
msg_1755159191353_q37f7zvma,1755159191353,1755159190829,,1755159191689,1755159191910,557,-524,,,860,221
msg_1755159193855_eamhq5g9d,1755159193855,1755159193336,,1755159194257,1755159194525,670,-519,,,921,268
msg_1755159196364_c7is649h0,1755159196364,1755159195840,,1755159196695,1755159196915,551,-524,,,855,220
