messageId,T1,T2,T2_5,T3,T4,RTT_Total,MQTT_to_WebSocket,WebSocket_Processing,Django_Processing,Django_to_Frontend,Frontend_to_MQTT
msg_1754932442290_c4ah58uul,1754932442290,1754932442703,,1754932442652,1754932442878,588,413,,,-51,226
msg_1754932444799_k9ewsyvd7,1754932444799,1754932445210,,1754932445142,1754932445371,572,411,,,-68,229
msg_1754932447311_9qapjin0d,1754932447311,1754932447724,,1754932447846,1754932448072,761,413,,,122,226
msg_1754932449821_906idpn0r,1754932449821,1754932450313,,1754932450228,1754932450458,637,492,,,-85,230
msg_1754932452334_91rsfztq6,1754932452334,1754932452744,,1754932452851,1754932453073,739,410,,,107,222
msg_1754932454838_rgpi6bo88,1754932454838,1754932455253,,1754932455558,1754932455780,942,415,,,305,222
msg_1754932457339_jpg0tsyte,1754932457339,1754932457748,,1754932457751,1754932457976,637,409,,,3,225
msg_1754932459852_wghfqm4os,1754932459852,1754932460262,,1754932460187,1754932460411,559,410,,,-75,224
msg_1754932462364_3thn9frpd,1754932462364,1754932462777,,1754932462751,1754932462978,614,413,,,-26,227
msg_1754932464872_czetyemar,1754932464872,1754932465283,,1754932465213,1754932465437,565,411,,,-70,224
msg_1754932467377_ouxkji6n8,1754932467377,1754932467791,,1754932467770,1754932467998,621,414,,,-21,228
msg_1754932469877_wqf5c1ill,1754932469877,1754932470287,,1754932470212,1754932470437,560,410,,,-75,225
msg_1754932472387_tqlt8s8jk,1754932472387,1754932472796,,1754932472786,1754932473010,623,409,,,-10,224
msg_1754932474891_e5g55dscs,1754932474891,1754932475302,,1754932475248,1754932475471,580,411,,,-54,223
msg_1754932477402_kx5uqvm1i,1754932477402,1754932477814,,1754932477744,1754932477968,566,412,,,-70,224
msg_1754932479912_xbk6ureui,1754932479912,1754932480322,,1754932480261,1754932480487,575,410,,,-61,226
msg_1754932482423_qoo16twfy,1754932482423,1754932482837,,1754932483041,1754932483265,842,414,,,204,224
msg_1754932484936_w90uubqo8,1754932484936,1754932485347,,1754932485348,1754932485572,636,411,,,1,224
msg_1754932487452_bgr6cc3gr,1754932487452,1754932487896,,1754932487849,1754932488072,620,444,,,-47,223
msg_1754932489951_4dqzx6sxm,1754932489951,1754932490366,,1754932490343,1754932490567,616,415,,,-23,224
msg_1754932492462_5y2qllhue,1754932492462,1754932492877,,1754932492942,1754932493168,706,415,,,65,226
msg_1754932494961_hrg05iax6,1754932494961,1754932495376,,1754932495342,1754932495570,609,415,,,-34,228
msg_1754932497475_aijr5qnp5,1754932497475,1754932497890,,1754932497853,1754932498076,601,415,,,-37,223
msg_1754932499984_otrjjm8bn,1754932499984,1754932500395,,1754932500389,1754932500615,631,411,,,-6,226
msg_1754932502496_yxk0088uf,1754932502496,1754932502906,,1754932502953,1754932503179,683,410,,,47,226
msg_1754932505008_n5h4welq4,1754932505008,1754932505420,,1754932505441,1754932505662,654,412,,,21,221
msg_1754932507512_615u4h5hn,1754932507512,1754932507925,,1754932507947,1754932508171,659,413,,,22,224
msg_1754932510016_6zjynk1ga,1754932510016,1754932510427,,1754932510444,1754932510668,652,411,,,17,224
msg_1754932512528_zoib6ld7z,1754932512528,1754932512939,,1754932512946,1754932513170,642,411,,,7,224
msg_1754932515038_p78y1t6tl,1754932515038,1754932515446,,1754932515643,1754932515867,829,408,,,197,224
