messageId,T1,T2,T2_5,T3,T4,RTT_Total,MQTT_to_WebSocket,WebSocket_Processing,Django_Processing,Django_to_Frontend,Frontend_to_MQTT
msg_1755148609170_sjcxnam6u,1755148609170,1755148608619,1755148608692,1755148609508,1755148609729,559,-551,73,73,816,221
msg_1755148611683_4a9k27rvc,1755148611683,1755148611137,1755148611211,1755148612027,1755148612245,562,-546,74,74,816,218
msg_1755148614194_ha2y1u28l,1755148614194,1755148613648,1755148613905,1755148614721,1755148614938,744,-546,257,257,816,217
msg_1755148616709_0icjatlal,1755148616709,1755148616162,1755148616297,1755148617114,1755148617336,627,-547,135,135,817,222
msg_1755148619210_rehyjfum6,1755148619210,1755148618667,1755148618792,1755148619608,1755148619827,617,-543,125,125,816,219
msg_1755148621724_nojsimz5b,1755148621724,1755148621174,1755148621238,1755148622054,1755148622275,551,-550,64,64,816,221
msg_1755148624224_fuks1w181,1755148624224,1755148623678,1755148623850,1755148624666,1755148624884,660,-546,172,172,816,218
msg_1755148626735_b2kmx8n0b,1755148626735,1755148626186,1755148626258,1755148627075,1755148627295,560,-549,72,72,817,220
msg_1755148629250_rz28ugkmf,1755148629250,1755148628706,1755148628823,1755148629640,1755148629855,605,-544,117,117,817,215
msg_1755148631756_ppfmkyj3g,1755148631756,1755148631208,1755148631285,1755148632101,1755148632317,561,-548,77,77,816,216
msg_1755148634270_10vwt7cqc,1755148634270,1755148633726,1755148633793,1755148634609,1755148634825,555,-544,67,67,816,216
msg_1755148636782_5ggehdwm5,1755148636782,1755148636233,1755148636292,1755148637108,1755148637324,542,-549,59,59,816,216
msg_1755148639291_epvjlbmcl,1755148639291,1755148638740,1755148638889,1755148639705,1755148639925,634,-551,149,149,816,220
msg_1755148641802_b21s1gsb5,1755148641802,1755148641256,1755148641312,1755148642128,1755148642352,550,-546,56,56,816,224
msg_1755148644314_opjfruc1v,1755148644314,1755148643772,1755148643834,1755148644650,1755148644872,558,-542,62,62,816,222
msg_1755148646829_rz3lxs04m,1755148646829,1755148646285,1755148646343,1755148647159,1755148647378,549,-544,58,58,816,219
msg_1755148649335_6t7o3ripx,1755148649335,1755148648788,1755148648884,1755148649700,1755148649920,585,-547,96,96,816,220
msg_1755148651844_ro73lxc4f,1755148651844,1755148651299,1755148651383,1755148652199,1755148652415,571,-545,84,84,816,216
msg_1755148654345_4uv1d9asp,1755148654345,1755148653824,1755148653922,1755148654738,1755148654958,613,-521,98,98,816,220
